image_name,image_url,height,width,rotation_angle,annotations/0/id,annotations/0/category_name,annotations/0/area,annotations/0/creator,annotations/0/keypoints/0,annotations/0/keypoints/1,annotations/0/keypoints/2,annotations/0/keypoints/3,annotations/0/keypoints/4,annotations/0/keypoints/5,annotations/0/keypoints/6,annotations/0/keypoints/7,annotations/0/keypoints/8,annotations/0/keypoints/9,annotations/0/keypoints/10,annotations/0/keypoints/11,annotations/0/keypoints/12,annotations/0/keypoints/13,annotations/0/keypoints/14,annotations/0/keypoints/15,annotations/0/keypoints/16,annotations/0/keypoints/17,annotations/0/keypoints/18,annotations/0/keypoints/19,annotations/0/keypoints/20,annotations/0/keypoints/21,annotations/0/keypoints/22,annotations/0/keypoints/23,annotations/0/keypoints/24,annotations/0/keypoints/25,annotations/0/keypoints/26,annotations/0/keypoints/27,annotations/0/keypoints/28,annotations/0/keypoints/29
1035.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea2531126500b57d91e90.png,480,640,0,62aeaa4bbb1886000cae68aa,acupoints,0,nguyenhoainamfs0502@gmail.com,95,129,2,124,94,2,167,113,2,196,131,2,223,130,2,261,120,2,284,166,2,250,81,2,195,51,2,143,64,2
1036.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea24f1126500b57d91e89.png,480,640,0,62aeaa5dbb1886000cae68ab,acupoints,0,nguyenhoainamfs0502@gmail.com,97,140,2,125,100,2,169,114,2,196,124,2,224,119,2,266,111,2,286,144,2,245,70,2,195,51,2,141,68,2
1037.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea24e1126500b57d91e86.png,480,640,0,62aeaa7bbb1886000cae68ac,acupoints,0,nguyenhoainamfs0502@gmail.com,107,152,2,134,107,2,172,119,2,204,130,2,233,122,2,265,104,2,290,140,2,245,72,2,199,55,2,146,75,2
1038.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea3c91126500b57d920cf.png,480,640,0,62aeaa8abb1886000cae68ad,acupoints,0,nguyenhoainamfs0502@gmail.com,111,151,2,133,108,2,176,119,2,209,132,2,235,120,2,268,104,2,297,142,2,248,71,2,202,56,2,149,77,2
1039.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea3cd1126500b57d920d6.png,480,640,0,62aeaa96bb1886000cae68ae,acupoints,0,nguyenhoainamfs0502@gmail.com,113,167,2,134,117,2,177,121,2,212,130,2,238,119,2,271,102,2,297,138,2,244,76,2,195,63,2,149,85,2
104.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea2b51126500b57d91f2a.png,480,640,0,62aeaa9fbb1886000cae68af,acupoints,0,nguyenhoainamfs0502@gmail.com,231,206,2,250,164,2,303,179,2,333,192,2,360,182,2,403,158,2,428,194,2,378,95,2,328,83,2,274,103,2
1040.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea3d31126500b57d920df.png,480,640,0,62aeaad1bb1886000cae68b0,acupoints,0,nguyenhoainamfs0502@gmail.com,110,166,2,126,123,2,174,122,2,203,128,2,230,118,2,262,101,2,294,142,2,237,82,2,187,73,2,144,93,2
1041.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea3d61126500b57d920e3.png,480,640,0,62aeaae0bb1886000cae68b1,acupoints,0,nguyenhoainamfs0502@gmail.com,110,168,2,125,126,2,171,124,2,204,131,2,229,117,2,263,107,2,292,143,2,238,86,2,188,75,2,148,95,2
1042.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea3d91126500b57d920e7.png,480,640,0,62aeaaebbb1886000cae68b2,acupoints,0,nguyenhoainamfs0502@gmail.com,113,174,2,132,124,2,174,126,2,205,135,2,231,123,2,263,110,2,293,145,2,243,90,2,183,84,2,150,99,2
1043.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea3d11126500b57d920dd.png,480,640,0,62aeaaf5bb1886000cae68b3,acupoints,0,nguyenhoainamfs0502@gmail.com,113,176,2,132,128,2,172,128,2,204,133,2,231,124,2,261,110,2,292,142,2,247,95,2,196,84,2,153,99,2
1044.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea3ca1126500b57d920d2.png,480,640,0,62aeab03bb1886000cae68b4,acupoints,0,nguyenhoainamfs0502@gmail.com,119,176,2,137,128,2,175,126,2,204,131,2,234,126,2,268,112,2,300,152,2,255,96,2,204,84,2,159,101,2
1045.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea3c91126500b57d920d0.png,480,640,0,62aeab11bb1886000cae68b5,acupoints,0,nguyenhoainamfs0502@gmail.com,124,194,2,144,139,2,169,138,2,199,139,2,226,126,2,268,113,2,299,144,2,256,100,2,197,95,2,156,119,2
1046.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea2481126500b57d91e7e.png,480,640,0,62aeab1cbb1886000cae68b6,acupoints,0,nguyenhoainamfs0502@gmail.com,186,194,2,204,146,2,240,154,2,266,162,2,292,151,2,336,131,2,368,162,2,330,98,2,277,84,2,228,106,2
1047.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea2491126500b57d91e7f.png,480,640,0,62aeab26bb1886000cae68b7,acupoints,0,nguyenhoainamfs0502@gmail.com,188,195,2,203,148,2,243,155,2,273,166,2,303,154,2,340,131,2,375,168,2,331,94,2,279,83,2,231,107,2
1048.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea2501126500b57d91e8a.png,480,640,0,62aeab32bb1886000cae68b8,acupoints,0,nguyenhoainamfs0502@gmail.com,177,232,2,188,179,2,239,183,2,273,189,2,298,168,2,324,139,2,367,172,2,300,89,2,242,93,2,204,120,2
1049.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea3031126500b57d91f9e.png,480,640,0,62aeab3dbb1886000cae68b9,acupoints,0,nguyenhoainamfs0502@gmail.com,172,239,2,188,185,2,236,190,2,265,195,2,290,177,2,316,142,2,354,161,2,284,86,2,222,99,2,180,141,2
105.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea2691126500b57d91eb1.png,480,640,0,62aeab49bb1886000cae68ba,acupoints,0,nguyenhoainamfs0502@gmail.com,203,207,2,228,163,2,274,171,2,307,180,2,336,169,2,370,144,2,397,174,2,337,89,2,282,83,2,236,110,2
1050.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea3061126500b57d91fa1.png,480,640,0,62aeab56bb1886000cae68bb,acupoints,0,nguyenhoainamfs0502@gmail.com,193,227,2,212,184,2,261,197,2,292,206,2,316,189,2,348,160,2,386,185,2,318,87,2,251,86,2,204,126,2
1051.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea30f1126500b57d91fb0.png,480,640,0,62aeab79bb1886000cae68bc,acupoints,0,nguyenhoainamfs0502@gmail.com,215,212,2,248,170,2,299,192,2,329,208,2,354,195,2,381,170,2,407,212,2,357,96,2,295,80,2,241,114,2
1052.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea3071126500b57d91fa3.png,480,640,0,62aeab84bb1886000cae68bd,acupoints,0,nguyenhoainamfs0502@gmail.com,230,195,2,270,153,2,321,182,2,354,201,2,377,191,2,409,174,2,419,224,2,373,96,2,325,82,2,276,103,2
1053.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea2531126500b57d91e8f.png,480,640,0,62aeab8ebb1886000cae68be,acupoints,0,nguyenhoainamfs0502@gmail.com,237,186,2,281,149,2,327,179,2,357,198,2,378,189,2,410,174,2,426,221,2,388,99,2,334,78,2,281,97,2
1054.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea14e1126500b57d91cf6.png,480,640,0,62aeab98bb1886000cae68bf,acupoints,0,nguyenhoainamfs0502@gmail.com,239,189,2,273,152,2,324,176,2,354,194,2,384,192,2,417,173,2,426,222,2,385,99,2,337,79,2,279,95,2
1055.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea1491126500b57d91cef.png,480,640,0,62aeaba3bb1886000cae68c0,acupoints,0,nguyenhoainamfs0502@gmail.com,245,174,2,281,143,2,321,169,2,348,189,2,377,192,2,425,179,2,439,224,2,417,113,2,372,82,2,311,91,2
1056.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea14f1126500b57d91cf9.png,480,640,0,62aeabaebb1886000cae68c1,acupoints,0,nguyenhoainamfs0502@gmail.com,231,183,2,261,142,2,300,160,2,327,176,2,354,166,2,404,151,2,428,185,2,392,93,2,342,75,2,281,93,2
1057.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea14d1126500b57d91cf5.png,480,640,0,62aeabb9bb1886000cae68c2,acupoints,0,nguyenhoainamfs0502@gmail.com,220,201,2,242,153,2,287,164,2,316,173,2,345,160,2,379,134,2,417,164,2,362,82,2,305,70,2,258,99,2
1058.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea3131126500b57d91fb6.png,480,640,0,62aeabc3bb1886000cae68c3,acupoints,0,nguyenhoainamfs0502@gmail.com,215,231,2,220,179,2,270,181,2,306,183,2,329,155,2,350,126,2,386,148,2,313,81,2,257,88,2,220,130,2
1059.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea3151126500b57d91fb9.png,480,640,0,62aeabd0bb1886000cae68c4,acupoints,0,nguyenhoainamfs0502@gmail.com,216,244,2,221,193,2,268,189,2,299,186,2,319,164,2,339,126,2,379,141,2,302,89,2,252,96,2,218,138,2
106.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea2621126500b57d91ea6.png,480,640,0,62aeabdbbb1886000cae68c5,acupoints,0,nguyenhoainamfs0502@gmail.com,177,184,2,194,135,2,221,144,2,245,156,2,271,144,2,322,122,2,359,157,2,337,90,2,273,71,2,223,93,2
1060.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea2fd1126500b57d91f95.png,480,640,0,62aeabe7bb1886000cae68c6,acupoints,0,nguyenhoainamfs0502@gmail.com,274,185,2,300,145,2,346,158,2,378,171,2,405,160,2,442,140,2,468,171,2,411,82,2,366,74,2,317,96,2
1061.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea14c1126500b57d91cf3.png,480,640,0,62aeabf0bb1886000cae68c7,acupoints,0,nguyenhoainamfs0502@gmail.com,298,180,2,325,142,2,374,166,2,400,179,2,427,176,2,471,160,2,497,204,2,460,94,2,408,75,2,352,90,2
1062.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea3091126500b57d91fa6.png,480,640,0,62aeabfabb1886000cae68c8,acupoints,0,nguyenhoainamfs0502@gmail.com,305,176,2,337,142,2,382,168,2,410,189,2,441,183,2,482,171,2,507,212,2,473,99,2,420,72,2,366,90,2
1063.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea24f1126500b57d91e88.png,480,640,0,62aeac04bb1886000cae68c9,acupoints,0,nguyenhoainamfs0502@gmail.com,311,186,2,349,151,2,388,176,2,413,194,2,444,191,2,484,173,2,506,216,2,481,100,2,421,74,2,361,93,2
1064.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea24e1126500b57d91e87.png,480,640,0,62aeac0fbb1886000cae68ca,acupoints,0,nguyenhoainamfs0502@gmail.com,308,187,2,344,151,2,389,180,2,415,198,2,445,191,2,489,172,2,508,214,2,479,99,2,421,76,2,368,93,2
1065.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea24a1126500b57d91e80.png,480,640,0,62aeac43bb1886000cae68cb,acupoints,0,nguyenhoainamfs0502@gmail.com,305,194,2,343,155,2,382,179,2,414,195,2,447,187,2,484,165,2,506,205,2,468,95,2,409,75,2,351,99,2
1066.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea1511126500b57d91cfb.png,480,640,0,62aeac6dbb1886000cae68cc,acupoints,0,nguyenhoainamfs0502@gmail.com,302,195,2,332,158,2,380,180,2,408,195,2,436,183,2,471,163,2,500,196,2,457,92,2,402,80,2,351,100,2
1067.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea2511126500b57d91e8b.png,480,640,0,62aeacf1bb1886000cae68cd,acupoints,0,nguyenhoainamfs0502@gmail.com,296,209,2,323,167,2,376,182,2,402,192,2,424,180,2,463,155,2,495,187,2,444,89,2,383,76,2,335,106,2
1068.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea3e41126500b57d920f9.png,480,640,0,62aeacfcbb1886000cae68ce,acupoints,0,nguyenhoainamfs0502@gmail.com,293,220,2,319,171,2,362,185,2,392,191,2,416,179,2,449,151,2,486,172,2,424,84,2,365,84,2,319,111,2
1069.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea3d41126500b57d920e1.png,480,640,0,62aead0bbb1886000cae68cf,acupoints,0,nguyenhoainamfs0502@gmail.com,288,238,2,305,180,2,359,191,2,390,198,2,411,181,2,442,144,2,476,165,2,409,84,2,340,86,2,293,128,2
107.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea2651126500b57d91eab.png,480,640,0,62aead16bb1886000cae68d0,acupoints,0,nguyenhoainamfs0502@gmail.com,177,176,2,199,131,2,221,143,2,247,154,2,270,141,2,318,119,2,357,150,2,328,86,2,273,71,2,224,89,2
1070.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea1511126500b57d91cfc.png,480,640,0,62aead22bb1886000cae68d1,acupoints,0,nguyenhoainamfs0502@gmail.com,299,264,2,308,209,2,351,209,2,380,211,2,396,192,2,427,152,2,471,172,2,398,125,2,338,136,2,303,174,2
1071.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea14e1126500b57d91cf7.png,480,640,0,62aead2dbb1886000cae68d2,acupoints,0,nguyenhoainamfs0502@gmail.com,327,237,2,348,183,2,398,189,2,434,199,2,463,184,2,487,157,2,523,199,2,455,128,2,401,122,2,351,155,2
1072.png,https://media.neuralmarker.ai/datasets/62a6db2878fd960009c31041/images/62aea14f1126500b57d91cf8.png,480,640,0,62aead3fbb1886000cae68d3,acupoints,0,nguyenhoainamfs0502@gmail.com,257,194,2,280,158,2,324,166,2,353,174,2,378,164,2,415,138,2,446,167,2,383,89,2,337,83,2,286,110,2
